ключ	статус	строка_книги	где	файлы_html	текст
— ответы на требования и уведомления.
qd_22	только_HTML			web/calc.html	
qd_22b	только_HTML			web/calc.html	
qd_23	только_HTML			web/calc.html	
qd_23b	только_HTML			web/calc.html	
rbd_d1	только_книга	556	Полный отчёт		УДАЛЕНО из HTML: подзаголовки групп убраны — Сколько часов в неделю уходит на каждый вид работы
rbd_d2	только_книга	558	Полный отчёт		УДАЛЕНО из HTML: подзаголовки групп убраны — Сколько денег в месяц уходит помимо вашего дохода
rbd_h1	только_книга	553	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Как распределяется бюджет
rbd_h2	только_книга	554	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Всё, что стоит за одной съёмкой, делится на две части. Временные затраты — часы на сам заказ и на работу, без которой заказов просто не будет: поиск клиентов, переписка, отчётность. Финансовые затраты — вложения в дело: техника, обучение, реклама, налоги. Ниже видно, сколько занимает каждая часть.
rbd_h2a	ok	580	Полный отчёт	web/report.html	Клиент готов оплачивать только время, проведённое вами на съёмочной площадке, зачастую не подозревая о колоссальном объёме закулисной работы
rbd_h2b	ok	581	Полный отчёт	web/report.html	Именно поэтому в стоимость съёмочного часа необходимо закладывать абсолютно все сопутствующие затраты
rbd_h2c	ok	583	Полный отчёт	web/report.html	Часы на сам заказ и на работу, без которой заказов просто не будет: съёмка, обработка, переписка, продвижение, отчётность
rbd_h2c1	ok	589	Полный отчёт	web/report.html	Ваше время
rbd_h2d	ok	584	Полный отчёт	web/report.html	Вложения в дело: техника и программы, обучение и опыт, реклама, аренда, налоги — уже потраченные или уходящие каждый месяц
rbd_h2d1	ok	590	Полный отчёт	web/report.html	Ваши деньги
rbd_h2e	только_книга	586	Полный отчёт		УДАЛЕНО из HTML: строка-связка убрана, роль перешла к подписям половин яблока — Все затраты можно разделить на две основные части:
rbd_hint	только_книга	577	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Наведите на столбец — он раскроется и покажет, что входит
rbd_l1	только_книга	578	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Временные затраты
rbd_l2	только_книга	579	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Финансовые затраты
rbd_nh	ok	582	Полный отчёт	web/report.html	Из чего складывается ваша цена
rbd_t1	только_книга	555	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Ваши временные затраты
rbd_t2	только_книга	557	Полный отчёт		УДАЛЕНО из HTML: блок «Как распределяется бюджет» со столбцами убран, название перешло блоку 01 — Ваши финансовые затраты
rbd_v1	только_книга	559	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Продвижение и поиск заказов
rbd_v2	только_книга	561	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Учёт и отчётность
rbd_v3	только_книга	563	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Работа с клиентом
rbd_v4	только_книга	565	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Съёмка и обработка материала
rbd_v5	только_книга	567	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Оборудование и ПО
rbd_v6	только_книга	569	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Содержание рабочего места
rbd_v7	только_книга	571	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Обучение и опыт
rbd_v8	только_книга	573	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Реклама и продвижение
rbd_v9	только_книга	575	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — Налоги и банк
rbd_w1	только_книга	560	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — контент, рилсы, тексты, реклама, ответы в директ, портфолио, работа с отзывами
rbd_w2	только_книга	562	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — чеки по каждому поступлению, декларации, взносы по срокам, сверки, книга учёта
rbd_w3	только_книга	564	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — ответы на заявки, согласование даты и референсов, договор, предоплата, напоминания
rbd_w4	только_книга	566	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — часы на площадке, отбор кадров, цвет, ретушь, экспорт, передача клиенту, правки
rbd_w5	только_книга	568	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — камера, оптика, свет, компьютер, плагины и подписки
rbd_w6	только_книга	570	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — аренда или доля квартиры, коммунальные, связь, мебель, ремонт
rbd_w7	только_книга	572	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — курсы и сайт, разложенные по годам, — вложения, которые уже сделаны
rbd_w8	только_книга	574	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — директ, таргет, размещения, домен и хостинг сайта
rbd_w9	только_книга	576	Полный отчёт		ЗАМЕНЕНО: статичные плашки стали интерактивными полосами (тексты в JS) — налог по вашему режиму, страховые взносы, эквайринг с каждого платежа
rcd_01	ok	477	Полный отчёт	web/report.html	Ваши условия труда по ТК РФ
rcd_02	ok	478	Полный отчёт	web/report.html	Работая на себя, вы сами являетесь для себя работодателем. Если не заложить отпуск, больничные и выходные в стоимость часа, вы фактически будете оплачивать их из собственного кармана — работая в дни отдыха или жертвуя своим здоровьем ради сохранения дохода.
rcd_03	ok	479	Полный отчёт	web/report.html	В расчёт заложены те же гарантии, что закон даёт наёмному работнику
rcd_s1	ok	528	Полный отчёт	web/report.html	Выходные и государственные праздники — вы не работаете
rcd_s2	ok	530	Полный отчёт	web/report.html	Плюс 10 дней больничного — без потери дохода
rcd_s3	ok	532	Полный отчёт	web/report.html	С перерывом на обед, а не «сколько получится»
rcd_t1	ok	527	Полный отчёт	web/report.html	График работы
rcd_t2	ok	529	Полный отчёт	web/report.html	Право на отдых
rcd_t3	ok	531	Полный отчёт	web/report.html	Рабочий день
rct_01	ok	424	Полный отчёт	web/report.html	Готовый контент для вашего блога
rct_02	ok	425	Полный отчёт	web/report.html	30 сценариев, которые снимают вопрос «а почему так дорого»
rct_03	ok	426	Полный отчёт	web/report.html	Рассказывайте о работе спокойно и без оправданий — ценность становится очевидной раньше, чем встанет вопрос о цене.
rct_04	только_книга	427	Полный отчёт		Рассказывайте о работе спокойно и без оправданий — ценность становится очевидной раньше, чем встанет вопрос о цене
rcw_h1	только_книга	544	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — А можно ли работать больше?
rcw_h2	только_книга	545	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — Конечно. Только сначала посмотрите, во что это обойдётся
rcw_note	только_книга	552	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — Объём упирается в календарь: в сутках 24 часа, и это единственный ресурс, который нельзя купить. Цена такого графика — здоровье, отношения и запас прочности. Ставку поднять можно в любой момент, количество часов — нет.
rcw_s1	только_книга	547	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — рабочих дней в году вместо 219, чтобы выйти на тот же доход по текущей ставке
rcw_s2	только_книга	549	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — выходных за весь год вместо 146 — без отпуска и без права заболеть
rcw_s3	только_книга	551	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — часов в день вместо восьми, если сохранить нынешний график
rcw_t1	только_книга	546	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — Сколько придётся работать
rcw_t2	только_книга	548	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — Что останется на отдых
rcw_t3	только_книга	550	Полный отчёт		УДАЛЕНО из HTML: блок «А можно ли работать больше?» убран — дублировал блок 04 — Длина рабочего дня
rdn_01	только_книга	480	Полный отчёт		Хотите удивлять клиентов крупными скидками
redo_01	только_книга	346	Форма · краткий результат		Изменить введённые данные
rfc_01	ok	649	Форма и отчёт · подвал, реквизиты	web/calc.html,web/index.html,web/report.html	ООО «Центр маркетинговых услуг Гет Маркетинг» © 2026
rfn_01	только_книга	499	Полный отчёт		Фотографы, вы офигели? Ваша работа стоит 10 тысяч
rfn_02	только_книга	500	Полный отчёт		Теперь у вас есть чем аргументировать свою цену. Не потому что вы так решили, а потому что вы посчитали свою юнит-экономику.
rfn_03	только_книга	501	Полный отчёт		Как часто вы слышите такое от заказчиков?
rfn_04	только_книга	502	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: убран кикер «Знакомо?» — хук переписан, надстрочная подводка стала лишней
rfn_05	только_книга	503	Полный отчёт		Клиент не плохой — он просто не видит всей картины. Оборудование, обработка, административное время и рабочие паузы для него не существуют, пока вы о них не рассказали.
rgn_02	ok	481	Полный отчёт	web/report.html	Просто математика
rgn_10	только_HTML			web/report.html	
rgn_11	только_HTML			web/report.html	
rgn_12	только_HTML			web/report.html	
rgn_13	только_HTML			web/report.html	
rgn_14	только_HTML			web/report.html	
rh2_01	ok	357	Полный отчёт	web/report.html	Как распределяется бюджет
rh2_02	ok	359	Полный отчёт	web/report.html	Три сценария вашей работы
rh2_03	только_книга	361	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): За какие роли вы это заработали
rh2_04	только_книга	368	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Куда уходят ваши деньги
rh2_05	только_книга	370	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Сравнение с текущей ставкой
rh2_06	только_книга	376	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Готовый прайс
rh2_07	только_книга	382	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): —
rh2_08	только_книга	384	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Минимум, ниже которого нельзя
rh2_09	ok	391	Полный отчёт	web/report.html	Как распределяется ваше время
rh2_10	только_книга	393	Полный отчёт		Сколько людей делают это в компании
rh2_11	ok	402	Полный отчёт	web/report.html	А если просто брать больше заказов?
rh2_12	ok	406	Полный отчёт	web/report.html	Ваш идеальный налоговый режим
rh2_13	ok	413	Полный отчёт	web/report.html	Объясняйте клиенту, из чего складывается стоимость
rh2_14	только_книга	422	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Обычная неделя по часам
rh2_15	только_книга	448	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Что на самом деле входит в вашу работу
rh2_16	только_книга	450	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Самая недооценённая строка — работа с отснятым материалом. «Прогнал через пресет» — это не обработка. Пока компьютер экспортирует, вы не свободны: вы за ним следите, перезапускаете, проверяете. Это ваше время, и оно должно быть в цене.
rh2_17	только_книга	455	Полный отчёт		Как считают обычно
rh2_18	ok	468	Полный отчёт	web/report.html	Как формировать скидку, чтобы не уйти в минус
rh2_19	только_книга	470	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): А это — скидка без причины
rh2_20	ok	490	Полный отчёт	web/report.html	Четыре цифры, которые стоит запомнить
rh2_21	ok	492	Полный отчёт	web/report.html	Скидка
rh_01	ok	350	Форма и отчёт · шапка	web/calc.html,web/report.html	Юнит-экономика фотографа
rh_02	ok	351	Форма и отчёт · шапка	web/calc.html,web/report.html	Создано фотографами для фотографов на основе реального опыта.
rh_03	ok	585	Форма и отчёт · шапка	web/report.html	Быть независимым автором не значит работать больше, чем в найме, и постоянно уходить в минус.
rhi_01	ok	358	Полный отчёт	web/report.html	Наглядная структура расходов, отчислений и вашей чистой прибыли на основе введённых данных
rhi_02	ok	360	Полный отчёт	web/report.html	Одна и та же загрузка при разной ставке часа. Разница только в цене — и в том, что остаётся вам
rhi_03	только_книга	362	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Внутри вашего дела живёт пять профессий. Вот сколько зарабатывает каждая
