1	09i · СПРАВОЧНИК: ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ
2	Плоский список по алфавиту, без разделов. Только те термины, которые человек встречает в анкете и в отчёте. Внутренние термины методики сюда не входят.
42	Банк и РКО + Эквайринг	Банк и РКО — эквайринг входит сюда, в налогах не дублируется
43	Съёмка на площадке	Съёмочных часов
44	Обработка материала	Часов на обработку
45	Продвижение	Часов на продвижение и рекламу
46	Работа с клиентом	Часов на работу с клиентом
47	Учёт и отчётность	Часов на учёт и отчётность
48	Рабочие паузы	Часов на рабочие паузы
49	Резерв на форс-мажоры	Часов на форс-мажоры
50	Длительность съёмки	Продолжительность съёмки
51	Время на один проект	Время на один съёмочный проект
52	Кадров с часа съёмки	Готовых кадров с часа съёмки
53	Стоимость одной съёмки	Стоимость одного съёмочного проекта
54	Ваша текущая ставка	УДАЛЕНА — заменена на «Стоимость одного готового кадра»
