1	03 · КАТАЛОГИ — списки значений по умолчанию для форм калькулятора
2	Только данные, никаких строк «ИТОГО». Итог берётся формулой SUMIF по коду формы. Период: Год=1, Месяц=12, Квартал=4 — как в ваших выпадающих списках.
4	Форма	Позиция	Стоимость, ₽	Срок, лет	Период	Платежей/год	₽/год	Тип расхода
17	Form002	Calibrite ColorChecker	30000	5		=IF(E17="Год",1,IF(E17="Квартал",4,IF(E17="Месяц",12,0)))  ⟹ None	=IF(N(D17)>0,C17/D17,C17*F17)  ⟹ None	амортизация
18	Form002	Колонки Logitech Z207	5000	5		=IF(E18="Год",1,IF(E18="Квартал",4,IF(E18="Месяц",12,0)))  ⟹ None	=IF(N(D18)>0,C18/D18,C18*F18)  ⟹ None	амортизация
19	Form002	Клавиатура Logitech K380	3500	7		=IF(E19="Год",1,IF(E19="Квартал",4,IF(E19="Месяц",12,0)))  ⟹ None	=IF(N(D19)>0,C19/D19,C19*F19)  ⟹ None	амортизация
20	Form002	Мышь Logitech M650	4000	3		=IF(E20="Год",1,IF(E20="Квартал",4,IF(E20="Месяц",12,0)))  ⟹ None	=IF(N(D20)>0,C20/D20,C20*F20)  ⟹ None	амортизация
21	Form002	Веб-камера Logitech Brio	15999	5		=IF(E21="Год",1,IF(E21="Квартал",4,IF(E21="Месяц",12,0)))  ⟹ None	=IF(N(D21)>0,C21/D21,C21*F21)  ⟹ None	амортизация
22	Form002	Микрофон FIFINE K669B	3500	5		=IF(E22="Год",1,IF(E22="Квартал",4,IF(E22="Месяц",12,0)))  ⟹ None	=IF(N(D22)>0,C22/D22,C22*F22)  ⟹ None	амортизация
23	Form002	Принтер Canon PIXMA G640	29999	5		=IF(E23="Год",1,IF(E23="Квартал",4,IF(E23="Месяц",12,0)))  ⟹ None	=IF(N(D23)>0,C23/D23,C23*F23)  ⟹ None	амортизация
24	Form004	Retouch4me Heal	6900	3		=IF(E24="Год",1,IF(E24="Квартал",4,IF(E24="Месяц",12,0)))  ⟹ None	=IF(N(D24)>0,C24/D24,C24*F24)  ⟹ None	амортизация
25	Form004	Retouch4me Dodge & Burn	6900	3		=IF(E25="Год",1,IF(E25="Квартал",4,IF(E25="Месяц",12,0)))  ⟹ None	=IF(N(D25)>0,C25/D25,C25*F25)  ⟹ None	амортизация
26	Form004	Retouch4me Fabric	6900	3		=IF(E26="Год",1,IF(E26="Квартал",4,IF(E26="Месяц",12,0)))  ⟹ None	=IF(N(D26)>0,C26/D26,C26*F26)  ⟹ None	амортизация
27	Form004	Retouch4me Clean Backdrop	6900	3		=IF(E27="Год",1,IF(E27="Квартал",4,IF(E27="Месяц",12,0)))  ⟹ None	=IF(N(D27)>0,C27/D27,C27*F27)  ⟹ None	амортизация
28	Form004	Retouch4me Dust	6900	3		=IF(E28="Год",1,IF(E28="Квартал",4,IF(E28="Месяц",12,0)))  ⟹ None	=IF(N(D28)>0,C28/D28,C28*F28)  ⟹ None	амортизация
29	Form013	Мебель	35000	7		=IF(E29="Год",1,IF(E29="Квартал",4,IF(E29="Месяц",12,0)))  ⟹ None	=IF(N(D29)>0,C29/D29,C29*F29)  ⟹ None	амортизация
30	Form013	Косметический ремонт	30000	7		=IF(E30="Год",1,IF(E30="Квартал",4,IF(E30="Месяц",12,0)))  ⟹ None	=IF(N(D30)>0,C30/D30,C30*F30)  ⟹ None	амортизация
31	Form003	Adobe CC Photography	2000		Месяц	=IF(E31="Год",1,IF(E31="Квартал",4,IF(E31="Месяц",12,0)))  ⟹ None	=IF(N(D31)>0,C31/D31,C31*F31)  ⟹ None	регулярный платёж
32	Form003	Яндекс Диск 1 ТБ	250		Месяц	=IF(E32="Год",1,IF(E32="Квартал",4,IF(E32="Месяц",12,0)))  ⟹ None	=IF(N(D32)>0,C32/D32,C32*F32)  ⟹ None	регулярный платёж
33	Form007	Обслуживание счёта (РКО)	0		Месяц	=IF(E33="Год",1,IF(E33="Квартал",4,IF(E33="Месяц",12,0)))  ⟹ None	=IF(N(D33)>0,C33/D33,C33*F33)  ⟹ None	регулярный платёж
34	Form007	СМС-уведомления	150		Месяц	=IF(E34="Год",1,IF(E34="Квартал",4,IF(E34="Месяц",12,0)))  ⟹ None	=IF(N(D34)>0,C34/D34,C34*F34)  ⟹ None	регулярный платёж
35	Form010	Домен сайта	1500		Год	=IF(E35="Год",1,IF(E35="Квартал",4,IF(E35="Месяц",12,0)))  ⟹ None	=IF(N(D35)>0,C35/D35,C35*F35)  ⟹ None	регулярный платёж
36	Form010	Хостинг сайта	6000		Год	=IF(E36="Год",1,IF(E36="Квартал",4,IF(E36="Месяц",12,0)))  ⟹ None	=IF(N(D36)>0,C36/D36,C36*F36)  ⟹ None	регулярный платёж
37	Form010	Яндекс Директ	15000		Месяц	=IF(E37="Год",1,IF(E37="Квартал",4,IF(E37="Месяц",12,0)))  ⟹ None	=IF(N(D37)>0,C37/D37,C37*F37)  ⟹ None	регулярный платёж
38	Form010	Авито	0		Месяц	=IF(E38="Год",1,IF(E38="Квартал",4,IF(E38="Месяц",12,0)))  ⟹ None	=IF(N(D38)>0,C38/D38,C38*F38)  ⟹ None	регулярный платёж
39	Form010	Таргетированная реклама	0		Месяц	=IF(E39="Год",1,IF(E39="Квартал",4,IF(E39="Месяц",12,0)))  ⟹ None	=IF(N(D39)>0,C39/D39,C39*F39)  ⟹ None	регулярный платёж
40	Form010	Платные размещения у блогеров	0		Месяц	=IF(E40="Год",1,IF(E40="Квартал",4,IF(E40="Месяц",12,0)))  ⟹ None	=IF(N(D40)>0,C40/D40,C40*F40)  ⟹ None	регулярный платёж
41	Form010	Отклики на Profi.ru	0		Месяц	=IF(E41="Год",1,IF(E41="Квартал",4,IF(E41="Месяц",12,0)))  ⟹ None	=IF(N(D41)>0,C41/D41,C41*F41)  ⟹ None	регулярный платёж
