73;Переменные расходы;переименовать;Текущие расходы — Регулярные расходы специалиста, необходимые для поддержания профессиональной деятельности и выполнения работы в течение определённого периода.;variable_costs;calc;Регулярные платежи за год;черновик;;477 900 ₽/год;общий;
74;Эквайринг;тождественно;Эквайринг — Комиссия за приём безналичных платежей от клиентов с использованием банковских карт, электронных средств платежа и других платёжных инструментов.;acquiring;calc;Комиссия за приём безналичных платежей от клиентов с использованием банковских карт, электронных средств платежа и других платёжных инструментов.;согласовано;;2,7%;общий;
75;База для выручки;не сверяется;;revenue_base;calc;Расходы плюс желаемый доход. Получить ПОСЛЕ всех платежей;черновик;;N + C = 2 094 014 ₽;внутренний;
;;;;;;;;;;;
F · НАЛОГИ 2026;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
76;НПД;переименовать;Налоговый режим — Установленный законодательством порядок исчисления и уплаты налогов и обязательных платежей, применяемый специалистом в зависимости от выбранной системы налогообложения.;rate_npd_avg;default;Средняя ставка 5% — базовый вариант, работа и с физлицами, и с юрлицами. Взносов нет, лимит 2,4 млн;черновик;;4% физлица · 6% юрлица;общий;
77;УСН «Доходы»;переименовать;Налоговый режим — Установленный законодательством порядок исчисления и уплаты налогов и обязательных платежей, применяемый специалистом в зависимости от выбранной системы налогообложения.;rate_usn_inc;default;Налог с выручки. Взносы ВЫЧИТАЮТСЯ из налога до нуля;черновик;;6%;общий;
78;УСН «Д−Р»;переименовать;Налоговый режим — Установленный законодательством порядок исчисления и уплаты налогов и обязательных платежей, применяемый специалистом в зависимости от выбранной системы налогообложения.;rate_usn_prof;default;Налог с прибыли. Взносы уменьшают базу. Минимальный налог 1%;черновик;;15%;общий;
79;АУСН;переименовать;Налоговый режим — Установленный законодательством порядок исчисления и уплаты налогов и обязательных платежей, применяемый специалистом в зависимости от выбранной системы налогообложения.;rate_ausn_inc;const;Взносы ИП за себя НЕ платятся. Лимит 60 млн;черновик;;8% · 20%, мин. налог 3%;общий;
80;Фиксированные взносы;переименовать;Страховые взносы — Обязательные платежи в государственные внебюджетные фонды и государственные системы страхования, связанные с осуществлением профессиональной деятельности и обеспечением социальных гарантий.;fixed_contrib;const;Платит каждый ИП. Срок — 28 декабря;черновик;;57 390 ₽/год;общий;
81;Дополнительный взнос;переименовать;Страховые взносы — Обязательные платежи в государственные внебюджетные фонды и государственные системы страхования, связанные с осуществлением профессиональной деятельности и обеспечением социальных гарантий.;extra_contrib;const;1% с дохода свыше порога. Срок — 1 июля следующего года;черновик;;1% × (база − 300 000);общий;
82;Предельная величина;переименовать;Страховые взносы — Обязательные платежи в государственные внебюджетные фонды и государственные системы страхования, связанные с осуществлением профессиональной деятельности и обеспечением социальных гарантий.;contrib_threshold;const;Порог для допвзноса. ЗА ГОД, не за месяц;черновик;;300 000 ₽;общий;
83;Вычет взносов из налога;не сверяется;;—;meta;"На УСН «Доходы» взносы уменьшают налог до нуля. Платёж = MAX(налог; взносы), а НЕ сумма";черновик;;ключевая механика;внутренний;
;;;;;;;;;;;
G · СТАВКИ ЧАСА (все на съёмочный час);;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
84;Наивная ставка;не сверяется;;naive_rate;calc;Доход / съёмочные часы. Без расходов и налогов. Демонстрация ошибки;черновик;;4 977 ₽/ч;внутренний;
85;Базовая ставка;не сверяется;;base_rate;calc;Доход / чистое время. ТОЛЬКО личный доход, без налогов и расходов;черновик;;1 307 988 / 1 533 = 853 ₽/ч;внутренний;
86;Текущая ставка;тождественно;Текущая ставка — Стоимость одного часа работы специалиста, установленная им на данный момент с учётом действующих условий оказания услуг.;current_rate;default;Стоимость одного часа работы специалиста, установленная им на данный момент с учётом действующих условий оказания услуг.;согласовано;;6 000 ₽/ч;общий;
87;Операционная ставка;не сверяется;;ops_rate;calc;Покрывает доход и расходы, но БЕЗ налога;черновик;;(N+C) / 261,41 = 8 011 ₽/ч;внутренний;
88;ПОЛНАЯ ставка;переименовать;Полная стоимость часа работы — Вся выручка за год, разделённая на рабочее время — рабочие дни, умноженные на восемь часов. Показывает, сколько денег приносит один час работы до вычета расходов и налогов. Нужна, чтобы видеть разницу между тем, что платят клиенты, и тем, что остаётся на руки: между этими двумя величинами лежат все расходы дела, налоги и эквайринг.;real_rate;calc;Покрывает доход, расходы, налог и эквайринг. ЦЕНА ДЛЯ КЛИЕНТА;черновик;;05_Итог, строка 5;общий;
89;Точка безубыточности;тождественно;Точка безубыточности — Объём работы или выручки, при котором доход специалиста полностью покрывает все расходы, но ещё не формирует прибыль.;breakeven;calc;Объём работы или выручки, при котором доход специалиста полностью покрывает все расходы, но ещё не формирует прибыль.;согласовано;;подставить N = 0;общий;
;;;;;;;;;;;
1 · Календарь;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
90;Всего дней в году;не сверяется;;days_year;const;ед.: дн;черновик;;365;внутренний;
91;Рабочих дней в году;не сверяется;;work_days;const;ед.: дн;черновик;;247;внутренний;
92;Рабочих дней в неделю;не сверяется;;days_week;const;ед.: дн;черновик;;5;внутренний;
93;Месяцев в году;не сверяется;;months;const;ед.: мес;черновик;;12;внутренний;
94;Кварталов в году;не сверяется;;quarters;const;ед.: кв;черновик;;4;внутренний;
95;Всего недель в году;не сверяется;;weeks_year;calc;ед.: нед · зависит от: days_year;черновик;;days_year/7;внутренний;
96;Номинальных часов в дне;не сверяется;;nominal_hours;const;ед.: ч;черновик;;8;внутренний;
97;Рабочих месяцев в году;не сверяется;;work_months;const;ед.: мес;черновик;;11;внутренний;
98;Отпуск, календарных дней;тождественно;Отпуск — Период временного освобождения специалиста от работы для отдыха и восстановления, предусмотренный трудовым законодательством или установленный самим специалистом.;vacation_cal;const;Период временного освобождения специалиста от работы для отдыха и восстановления, предусмотренный трудовым законодательством или установленный самим специалистом.;согласовано;;28;общий;
99;Отпуск, рабочих дней;тождественно;Отпуск — Период временного освобождения специалиста от работы для отдыха и восстановления, предусмотренный трудовым законодательством или установленный самим специалистом.;vacation_work;const;Период временного освобождения специалиста от работы для отдыха и восстановления, предусмотренный трудовым законодательством или установленный самим специалистом.;согласовано;;20;общий;
100;Больничный, календарных дней;тождественно;Больничный — Период временной нетрудоспособности из-за болезни или травмы, в течение которого человек освобождён от работы.;sick_cal;const;Период временной нетрудоспособности из-за болезни или травмы, в течение которого человек освобождён от работы.;согласовано;;10;общий;
101;Больничный, рабочих дней;тождественно;Больничный — Период временной нетрудоспособности из-за болезни или травмы, в течение которого человек освобождён от работы.;sick_work;const;Период временной нетрудоспособности из-за болезни или травмы, в течение которого человек освобождён от работы.;согласовано;;8;общий;
102;Чистых (эффективных) часов в дне;переименовать;Эффективное рабочее время — Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;eff_hours;const;Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;согласовано;;7;общий;Оставить как внутреннюю величину.
;;;;;;;;;;;
2 · Время;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
103;Рабочее время по календарю;тождественно;Рабочее время — Время, в течение которого специалист выполняет профессиональные обязанности, включая непосредственную работу, подготовку, организационные задачи и другие действия, связанные с выполнением работы.;work_time;calc;Время, в течение которого специалист выполняет профессиональные обязанности, включая непосредственную работу, подготовку, организационные задачи и другие действия, связанные с выполнением работы.;согласовано;;work_days*nominal_hours;общий;
104;Чистое рабочее время, дней;переименовать;Эффективное рабочее время — Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;net_days;calc;Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;согласовано;;work_days-vacation_work-sick_work;общий;Удалить. Остаётся «Эффективное рабочее время».
105;ЧИСТОЕ время;переименовать;Эффективное рабочее время — Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;net_time;calc;Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;согласовано;;net_days*eff_hours;общий;Удалить. Остаётся «Эффективное рабочее время».
106;Чистое время, недель;переименовать;Эффективное рабочее время — Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;net_weeks;calc;Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;согласовано;;net_days/days_week;общий;Удалить. Деление по периодам не заводим.
